IndicatorType,IndicatorValue,ExpirationTime,Action,Severity,Title,Description,RecommendedActions,RbacGroups,Category,MitreTechniques,GenerateAlert
Url,https://github.com/arkane-systems/mousejiggler,,Block,Informational,Antiwork Tool,Antiwork Tool,,,,,FALSE
Url,https://github.com/twentynine78/keepon,,Block,Informational,Antiwork Tool,Antiwork Tool,,,,,FALSE
Url,https://github.com/nicman42/noblackout,,Block,Informational,Antiwork Tool,Antiwork Tool,,,,,FALSE
Url,https://github.com/downloads/dmnd/caffeinated/,,Block,Informational,Antiwork Tool,Antiwork Tool,,,,,FALSE
Url,https://github.com/newmarcel/keepingyouawake,,Block,Informational,AntiWork,AntiWork,,,,,FALSE
Url,https://github.com/sabrogden/ditto,,Block,Informational,Ditto,Ditto,,,,,FALSE
Url,https://github.com/autohotkey/ahk2exe,,Block,Informational,Autohotkey,users use this to script passwords,,,,,FALSE
Url,https://github.com/autohotkey/autohotkey,,Block,Informational,Autohotkey,AutoHotKey,,,,,FALSE
Url,https://github.com/bkahlert/kill-zscaler,,Block,Informational,zscaler bypass tool,zscaler bypass tool,,,,,FALSE
Url,https://github.com/ravlaska/zsc_bypass,,Block,Informational,Zscaler Bypass,Zscaler Bypass,,,,,FALSE
Url,https://github.com/ravlaska/afk_protector,,Block,Informational,Control Bypass,Control Bypass,,,,,FALSE
Url,https://github.com/fourcorelabs/wintoken,,Block,Informational,Windows Token Manipulation Repo,Windows Token Manipulation Repo,,,,,FALSE
Url,https://github.com/mika-/torrent-control,,Block,Informational,Piracy,Piracy,,,,,FALSE
Url,https://github.com/picotorrent/picotorrent,,Block,Informational,Piracy,Piracy,,,,,FALSE
Url,https://github.com/drakonkat/crawfish,,Block,Informational,Piracy,Piracy,,,,,FALSE
DomainName,xd-torrent.github.io,,Block,Informational,Piracy,Piracy,,,,,FALSE
Url,https://github.com/majestrate/xd/releases,,Block,Informational,Piracy,Piracy,,,,,FALSE
Url,https://github.com/surgeonix/bitswarm/,,Block,Informational,Piracy,Piracy,,,,,FALSE
Url,https://ferrolho.github.io/magnet-player/,,Block,Informational,Piracy,Piracy,,,,,FALSE
Url,https://github.com/astro/bitford,,Block,Informational,Piracy,Piracy,,,,,FALSE
Url,https://github.com/degitx/rats-search,,Block,Informational,Piracy,Piracy,,,,,FALSE
DomainName,decentnet.github.io,,Block,Informational,Piracy,Piracy,,,,,FALSE
Url,https://github.com/ladybirdbrowser/ladybird,,Block,Informational,Unsanctioned browser,Unsanctioned browser,,,,,FALSE
Url,https://github.com/dioxuslabs/blitz,,Block,Informational,Unsanctioned browser,Unsanctioned browser,,,,,FALSE
Url,https://github.com/serenityos/serenity,,Block,Informational,SerenityOS,SerenityOS,,,,,FALSE
Url,https://github.com/beefproject/beef,,Block,Informational,The Browser Exploitation Framework Project ,The Browser Exploitation Framework Project ,,,,,FALSE
DomainName,github-scanner.com,,Block,Informational,lumma stealer,lumma stealer,,,,,FALSE
Url,https://github.com/doredry/tokenfinder,,Block,Informational,Token Stealer Repo,Token Stealer Repo,,,,,FALSE
Url,https://github.com/huskyhacks/wtfbins,,Block,Informational,Token Stealer Repo,Token Stealer Repo,,,,,FALSE
